,code,title
0,AL801,Software Design for Virtual Reality and Gaming
1,AL802,Software Design in Artificial Intelligence for Clo
2,AL803,Software Design for Mobile Apps and Connected Devi
3,AL805,Computer Engineering for Network Infrastructure
4,AL810,Quantity Surveying
5,AL811,Civil Engineering
6,AL820,Mechanical and Polymer Engineering
7,AL830,General Nursing
8,AL832,Mental Health Nursing
9,AL835,Pharmacology
10,AL836,Nutrition and Health Science
11,AL837,Sports Science with Exercise Physiology
12,AL838,Biotechnology
13,AL839,Microbiology
14,AL840,Pharmaceutical Sciences
15,AL841,Athletic and Rehabilitation Therapy
16,AL842,Bioveterinary Science
17,AL843,Physical Activity and Health Science
18,AL849,Culinary Entrepreneurship
19,AL850,Business
20,AL851,Business and Law
21,AL852,Accounting
22,AL854,Sport Management (with international placement)
23,AL855,Hospitality Management (with international placeme
24,AL857,Digital Marketing
25,AL859,International Business
26,AL860,Social Care Practice
27,AL861,Animation and Illustration (portfolio)
28,AL863,Graphic and Digital Design (portfolio)
29,AL864,Early Years Care and Education
30,AL870,Applied Psychology
31,CW018,Business (options)
32,CW028,Early Childhood Education and Care
33,CW038,Art (portfolio)
34,CW058,Tourism and Event Management
35,CW068,Applied Social Studies in Professional Social Care
36,CW078,Sustainable Farm Management and Agribusiness
37,CW088,Visual Communications and Design
38,CW108,Science (options)
39,CW128,Brewing and Distilling
40,CW138,Sport and Exercise Science
41,CW148,Strength and Conditioning
42,CW188,Sport Rehabilitation and Athletic Therapy
43,CW208,Computer Games Development
44,CW238,Software Development
45,CW248,Information Technology Management
46,CW258,Cybercrime and IT Security
47,CW268,Computing in Interactive Digital Art and Design
48,CW438,Construction (options)
49,CW468,Architectural Technology
50,CW478,Civil Engineering
51,CW548,Mechanical Engineering
52,CW558,Electronic Systems
53,CW568,Aerospace Engineering
54,CW578,TV and Media Production
55,CW708,Law - LLB
56,CW728,Product Design Innovation
57,CW748,Early Childhood Education and Care
58,CW758,Professional Social Care Practice
59,CW808,Media and Public Relations
60,CW848,Digital Marketing with Analytics
61,CW858,Sports Management and Coaching (options  portfolio
62,CW908,Business (options)
63,CW938,Business with Law
64,CW948,Accounting
65,PC405,Social  Political and Community Studies
66,PC410,Arts and Humanities (fulfils Teaching Council requ
67,PC411,English and History (fulfils Teaching Council requ
68,CR105,Chemical and Biopharmaceutical Engineering
69,CR106,Software Development
70,CR108,Mechanical Engineering
71,CR109,Structural Engineering
72,CR110,Automotive Business Management and Technology
73,CR112,Creative Digital Media at CIT Crawford College of
74,CR116,Computer Systems
75,CR121,Music at CIT Cork School of Music
76,CR125,Popular Music at CIT Cork School of Music
77,CR130,Musical Theatre at CIT Cork School of Music
78,CR150,Business Information Systems
79,CR210,Contemporary Applied Art (Ceramics  Glass  Textile
80,CR220,Fine Art at CIT Crawford College of Art and Design
