code,title,points_r1_2020,points_r1_2019
AL801,Software Design for Virtual Reality and Gaming,303.0,304.0
AL802,Software Design in Artificial Intelligence for Clo,332.0,301.0
AL803,Software Design for Mobile Apps and Connected Devi,337.0,309.0
AL805,Computer Engineering for Network Infrastructure,333.0,329.0
AL810,Quantity Surveying,319.0,307.0
AL811,Civil Engineering,320.0,
AL820,Mechanical and Polymer Engineering,308.0,300.0
AL830,General Nursing,442.0,410.0
AL832,Mental Health Nursing,387.0,387.0
AL835,Pharmacology,,
AL836,Nutrition and Health Science,334.0,352.0
AL837,Sports Science with Exercise Physiology,351.0,351.0
AL838,Biotechnology,307.0,302.0
AL839,Microbiology,325.0,322.0
AL840,Pharmaceutical Sciences,347.0,328.0
AL841,Athletic and Rehabilitation Therapy,430.0,423.0
AL842,Bioveterinary Science,313.0,310.0
AL843,Physical Activity and Health Science,306.0,310.0
AL849,Culinary Entrepreneurship,,
AL850,Business,309.0,307.0
AL851,Business and Law,295.0,301.0
AL852,Accounting,309.0,290.0
AL854,Sport Management (with international placement),302.0,
AL855,Hospitality Management (with international placeme,308.0,312.0
AL857,Digital Marketing,304.0,300.0
AL859,International Business,,
AL860,Social Care Practice,300.0,309.0
AL861,Animation and Illustration (portfolio),578.0,615.0
AL863,Graphic and Digital Design (portfolio),781.0,703.0
AL864,Early Years Care and Education,307.0,307.0
AL870,Applied Psychology,418.0,409.0
CW018,Business (options),298.0,327.0
CW028,Early Childhood Education and Care,252.0,252.0
CW038,Art (portfolio),700.0,700.0
CW058,Tourism and Event Management,298.0,252.0
CW068,Applied Social Studies in Professional Social Care,245.0,251.0
CW078,Sustainable Farm Management and Agribusiness,269.0,266.0
CW088,Visual Communications and Design,274.0,309.0
CW108,Science (options),261.0,261.0
CW128,Brewing and Distilling,263.0,271.0
CW138,Sport and Exercise Science,423.0,
CW148,Strength and Conditioning,379.0,
CW188,Sport Rehabilitation and Athletic Therapy,451.0,454.0
CW208,Computer Games Development,279.0,281.0
CW238,Software Development,297.0,300.0
CW248,Information Technology Management,285.0,307.0
CW258,Cybercrime and IT Security,293.0,300.0
CW268,Computing in Interactive Digital Art and Design,287.0,274.0
CW438,Construction (options),272.0,271.0
CW468,Architectural Technology,262.0,252.0
CW478,Civil Engineering,433.0,348.0
CW548,Mechanical Engineering,321.0,310.0
CW558,Electronic Systems,280.0,279.0
CW568,Aerospace Engineering,380.0,366.0
CW578,TV and Media Production,325.0,327.0
CW708,Law - LLB,302.0,298.0
CW728,Product Design Innovation,252.0,286.0
CW748,Early Childhood Education and Care,270.0,265.0
CW758,Professional Social Care Practice,336.0,290.0
CW808,Media and Public Relations,251.0,248.0
CW848,Digital Marketing with Analytics,254.0,279.0
CW858,Sports Management and Coaching (options  portfolio,700.0,700.0
CW908,Business (options),280.0,260.0
CW938,Business with Law,283.0,270.0
CW948,Accounting,300.0,301.0
