code,title,points_r1_2021,points_r1_2020,points_r1_2019,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
AL801,Software Design for Virtual Reality and Gaming,300.0,303.0,304.0,-3.0,-4.0,-1.0,Decrease,Decrease,Decrease
AL802,Software Design in Artificial Intelligence for Clo,313.0,332.0,301.0,-19.0,12.0,31.0,Decrease,Increase,Increase
AL803,Software Design for Mobile Apps and Connected Devi,350.0,337.0,309.0,13.0,41.0,28.0,Increase,Increase,Increase
AL805,Computer Engineering for Network Infrastructure,321.0,333.0,329.0,-12.0,-8.0,4.0,Decrease,Increase,Decrease
AL810,Quantity Surveying,328.0,319.0,307.0,9.0,21.0,12.0,Increase,Increase,Increase
AL811,Civil Engineering,,320.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
AL820,Mechanical and Polymer Engineering,327.0,308.0,300.0,19.0,27.0,8.0,Increase,Increase,Increase
AL830,General Nursing,451.0,442.0,410.0,9.0,41.0,32.0,Increase,Increase,Increase
AL832,Mental Health Nursing,440.0,387.0,387.0,53.0,53.0,0.0,Increase,No change,Increase
AL835,Pharmacology,356.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
AL836,Nutrition and Health Science,346.0,334.0,352.0,12.0,-6.0,-18.0,Increase,Decrease,Decrease
AL837,Sports Science with Exercise Physiology,357.0,351.0,351.0,6.0,6.0,0.0,Increase,No change,Increase
AL838,Biotechnology,324.0,307.0,302.0,17.0,22.0,5.0,Increase,Increase,Increase
AL839,Microbiology,325.0,325.0,322.0,0.0,3.0,3.0,No change,Increase,Increase
AL840,Pharmaceutical Sciences,346.0,347.0,328.0,-1.0,18.0,19.0,Decrease,Increase,Increase
AL841,Athletic and Rehabilitation Therapy,477.0,430.0,423.0,47.0,54.0,7.0,Increase,Increase,Increase
AL842,Bioveterinary Science,338.0,313.0,310.0,25.0,28.0,3.0,Increase,Increase,Increase
AL843,Physical Activity and Health Science,306.0,306.0,310.0,0.0,-4.0,-4.0,No change,Decrease,Decrease
AL849,Culinary Entrepreneurship,297.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
AL850,Business,309.0,309.0,307.0,0.0,2.0,2.0,No change,Increase,Increase
AL851,Business and Law,302.0,295.0,301.0,7.0,1.0,-6.0,Increase,Decrease,Increase
AL852,Accounting,336.0,309.0,290.0,27.0,46.0,19.0,Increase,Increase,Increase
AL854,Sport Management (with international placement),300.0,302.0,,-2.0,,,Decrease,Course for 1 year only,Course for 1 year only
AL855,Hospitality Management (with international placeme,309.0,308.0,312.0,1.0,-3.0,-4.0,Increase,Decrease,Decrease
AL857,Digital Marketing,304.0,304.0,300.0,0.0,4.0,4.0,No change,Increase,Increase
AL859,International Business,308.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
AL860,Social Care Practice,301.0,300.0,309.0,1.0,-8.0,-9.0,Increase,Decrease,Decrease
AL861,Animation and Illustration (portfolio),575.0,578.0,615.0,-3.0,-40.0,-37.0,Decrease,Decrease,Decrease
AL863,Graphic and Digital Design (portfolio),747.0,781.0,703.0,-34.0,44.0,78.0,Decrease,Increase,Increase
AL864,Early Years Care and Education,306.0,307.0,307.0,-1.0,-1.0,0.0,Decrease,No change,Decrease
AL870,Applied Psychology,484.0,418.0,409.0,66.0,75.0,9.0,Increase,Increase,Increase
CW018,Business (options),307.0,298.0,327.0,9.0,-20.0,-29.0,Increase,Decrease,Decrease
CW028,Early Childhood Education and Care,260.0,252.0,252.0,8.0,8.0,0.0,Increase,No change,Increase
CW038,Art (portfolio),700.0,700.0,700.0,0.0,0.0,0.0,No change,No change,No change
CW058,Tourism and Event Management,292.0,298.0,252.0,-6.0,40.0,46.0,Decrease,Increase,Increase
CW068,Applied Social Studies in Professional Social Care,250.0,245.0,251.0,5.0,-1.0,-6.0,Increase,Decrease,Decrease
CW078,Sustainable Farm Management and Agribusiness,270.0,269.0,266.0,1.0,4.0,3.0,Increase,Increase,Increase
CW088,Visual Communications and Design,270.0,274.0,309.0,-4.0,-39.0,-35.0,Decrease,Decrease,Decrease
CW108,Science (options),266.0,261.0,261.0,5.0,5.0,0.0,Increase,No change,Increase
CW128,Brewing and Distilling,307.0,263.0,271.0,44.0,36.0,-8.0,Increase,Decrease,Increase
CW138,Sport and Exercise Science,430.0,423.0,,7.0,,,Increase,Course for 1 year only,Course for 1 year only
CW148,Strength and Conditioning,388.0,379.0,,9.0,,,Increase,Course for 1 year only,Course for 1 year only
CW188,Sport Rehabilitation and Athletic Therapy,451.0,451.0,454.0,0.0,-3.0,-3.0,No change,Decrease,Decrease
CW208,Computer Games Development,272.0,279.0,281.0,-7.0,-9.0,-2.0,Decrease,Decrease,Decrease
CW238,Software Development,295.0,297.0,300.0,-2.0,-5.0,-3.0,Decrease,Decrease,Decrease
CW248,Information Technology Management,293.0,285.0,307.0,8.0,-14.0,-22.0,Increase,Decrease,Decrease
CW258,Cybercrime and IT Security,292.0,293.0,300.0,-1.0,-8.0,-7.0,Decrease,Decrease,Decrease
CW268,Computing in Interactive Digital Art and Design,291.0,287.0,274.0,4.0,17.0,13.0,Increase,Increase,Increase
CW438,Construction (options),260.0,272.0,271.0,-12.0,-11.0,1.0,Decrease,Increase,Decrease
CW468,Architectural Technology,291.0,262.0,252.0,29.0,39.0,10.0,Increase,Increase,Increase
CW478,Civil Engineering,465.0,433.0,348.0,32.0,117.0,85.0,Increase,Increase,Increase
CW548,Mechanical Engineering,330.0,321.0,310.0,9.0,20.0,11.0,Increase,Increase,Increase
CW558,Electronic Systems,280.0,280.0,279.0,0.0,1.0,1.0,No change,Increase,Increase
CW568,Aerospace Engineering,371.0,380.0,366.0,-9.0,5.0,14.0,Decrease,Increase,Increase
CW578,TV and Media Production,318.0,325.0,327.0,-7.0,-9.0,-2.0,Decrease,Decrease,Decrease
CW708,Law - LLB,292.0,302.0,298.0,-10.0,-6.0,4.0,Decrease,Increase,Decrease
CW728,Product Design Innovation,246.0,252.0,286.0,-6.0,-40.0,-34.0,Decrease,Decrease,Decrease
CW748,Early Childhood Education and Care,290.0,270.0,265.0,20.0,25.0,5.0,Increase,Increase,Increase
CW758,Professional Social Care Practice,360.0,336.0,290.0,24.0,70.0,46.0,Increase,Increase,Increase
CW808,Media and Public Relations,247.0,251.0,248.0,-4.0,-1.0,3.0,Decrease,Increase,Decrease
CW848,Digital Marketing with Analytics,269.0,254.0,279.0,15.0,-10.0,-25.0,Increase,Decrease,Decrease
CW858,Sports Management and Coaching (options  portfolio,700.0,700.0,700.0,0.0,0.0,0.0,No change,No change,No change
CW908,Business (options),272.0,280.0,260.0,-8.0,12.0,20.0,Decrease,Increase,Increase
CW938,Business with Law,270.0,283.0,270.0,-13.0,0.0,13.0,Decrease,Increase,No change
CW948,Accounting,319.0,300.0,301.0,19.0,18.0,-1.0,Increase,Decrease,Increase
PC405,Social  Political and Community Studies,263.0,253.0,251.0,10.0,12.0,2.0,Increase,Increase,Increase
PC410,Arts and Humanities (fulfils Teaching Council requ,262.0,252.0,203.0,10.0,59.0,49.0,Increase,Increase,Increase
PC411,English and History (fulfils Teaching Council requ,243.0,255.0,168.0,-12.0,75.0,87.0,Decrease,Increase,Increase
CR105,Chemical and Biopharmaceutical Engineering,443.0,443.0,432.0,0.0,11.0,11.0,No change,Increase,Increase
CR106,Software Development,431.0,411.0,351.0,20.0,80.0,60.0,Increase,Increase,Increase
CR108,Mechanical Engineering,434.0,434.0,425.0,0.0,9.0,9.0,No change,Increase,Increase
CR109,Structural Engineering,396.0,394.0,341.0,2.0,55.0,53.0,Increase,Increase,Increase
CR110,Automotive Business Management and Technology,336.0,311.0,318.0,25.0,18.0,-7.0,Increase,Decrease,Increase
CR112,Creative Digital Media at CIT Crawford College of,390.0,361.0,335.0,29.0,55.0,26.0,Increase,Increase,Increase
CR116,Computer Systems,365.0,332.0,318.0,33.0,47.0,14.0,Increase,Increase,Increase
CR121,Music at CIT Cork School of Music,904.0,868.0,633.0,36.0,271.0,235.0,Increase,Increase,Increase
CR125,Popular Music at CIT Cork School of Music,1028.0,1088.0,972.0,-60.0,56.0,116.0,Decrease,Increase,Increase
