,HEI,Course Code,INSTITUTION and COURSE,EOS,Mid
0,Ahlone Insiue of Technology,AL801,Sofwre Design wih Virul Reliy nd Ging,304,328.0
1,Ahlone Insiue of Technology,AL802,Sofwre Design wih Cloud Copuing,301,306.0
2,Ahlone Insiue of Technology,AL803,Sofwre Design wih Mobile Apps nd Conneced Devices,309,337.0
3,Ahlone Insiue of Technology,AL805,Nework Mngeen nd Cloud Infrsrucure,329,442.0
4,Ahlone Insiue of Technology,AL810,Quniy Surveying,307,349.0
5,Ahlone Insiue of Technology,AL820,Mechnicl nd Polyer Engineering,300,358.0
6,Ahlone Insiue of Technology,AL830,Generl Nursing,410,429.0
7,Ahlone Insiue of Technology,AL832,Psychiric Nursing,387,403.0
8,Ahlone Insiue of Technology,AL836,Nuriion nd Helh Science,352,383.0
9,Ahlone Insiue of Technology,AL837,Spors Science wih Exercise Physiology,351,392.0
10,Ahlone Insiue of Technology,AL838,Bioechnology,302,372.0
11,Ahlone Insiue of Technology,AL839,Microbiology,322,371.0
12,Ahlone Insiue of Technology,AL840,Phrceuicl Sciences,328,411.0
13,Ahlone Insiue of Technology,AL841,Ahleic nd Rehbiliion Therpy,423,430.0
14,Ahlone Insiue of Technology,AL842,Bioveerinry Science,310,366.0
15,Ahlone Insiue of Technology,AL843,Physicl Aciviy nd Helh Science,310,330.0
16,Ahlone Insiue of Technology,AL850,Business,307,356.0
17,Ahlone Insiue of Technology,AL851,Business nd Lw,301,341.0
18,Ahlone Insiue of Technology,AL852,Accouning (wih opionl plceen),290,346.0
19,Ahlone Insiue of Technology,AL853,Accouning nd Lw,305,320.0
20,Ahlone Insiue of Technology,AL855,Hospiliy Mngeen (wih Inernionl plceen),312,357.0
21,Ahlone Insiue of Technology,AL857,Digil Mrkeing,300,360.0
22,Ahlone Insiue of Technology,AL860,Socil Cre Prcice,309,338.0
23,Ahlone Insiue of Technology,AL861,Aniion nd Illusrion (porfolio),615,899.0
24,Ahlone Insiue of Technology,AL863,Grphic nd Digil Design (porfolio),703,898.0
25,Ahlone Insiue of Technology,AL864,Erly Yers Cre nd Educion,307,348.0
26,Ahlone Insiue of Technology,AL870,Applied Psychology,409,445.0
27,Insiue of Technology Crlow,CW018,Business (opions Wexford),327,349.0
28,Insiue of Technology Crlow,CW028,Erly Childhood Educion nd Cre (Wexford),252,308.0
29,Insiue of Technology Crlow,CW038,Ar (porfolio Wexford),700,700.0
30,Insiue of Technology Crlow,CW058,Touris nd Even Mngeen (Wexford),252,262.0
31,Insiue of Technology Crlow,CW068,Applied Socil Sudies - Professionl Socil Cre (Wexford),251,280.0
32,Insiue of Technology Crlow,CW078,Susinble Fr Mngeen nd Agribusiness (Wexford),266,320.0
33,Insiue of Technology Crlow,CW088,Visul Counicions nd Design (Wexford),309,345.0
34,Insiue of Technology Crlow,CW108,Science (opions),261,326.0
35,Insiue of Technology Crlow,CW128,Brewing nd Disilling,271,298.0
36,Insiue of Technology Crlow,CW178,Spor Science (opions),399,424.0
37,Insiue of Technology Crlow,CW188,Spor Rehbiliion nd Ahleic Therpy,454,473.0
38,Insiue of Technology Crlow,CW208,Copuer Ges Developen,281,338.0
39,Insiue of Technology Crlow,CW238,Sofwre Developen,300,343.0
40,Insiue of Technology Crlow,CW248,Inforion Technology Mngeen,307,357.0
41,Insiue of Technology Crlow,CW258,Cybercrie nd IT Securiy,300,328.0
42,Insiue of Technology Crlow,CW268,Copuing in Inercive Digil Ar nd Design,274,321.0
43,Insiue of Technology Crlow,CW438,Consrucion (opions),271,308.0
44,Insiue of Technology Crlow,CW468,Archiecurl Technology,252,290.0
45,Insiue of Technology Crlow,CW478,Civil Engineering,348,383.0
46,Insiue of Technology Crlow,CW548,Mechnicl Engineering,310,351.0
47,Insiue of Technology Crlow,CW558,Elecronic Syses,279,338.0
48,Insiue of Technology Crlow,CW568,Aerospce Engineering,366,422.0
49,Insiue of Technology Crlow,CW578,TV nd Medi Producion,327,361.0
50,Insiue of Technology Crlow,CW708,Lw - LLB,298,328.0
51,Insiue of Technology Crlow,CW728,Produc Design Innovion,286,355.0
52,Insiue of Technology Crlow,CW748,Erly Childhood Educion nd Cre,265,338.0
53,Insiue of Technology Crlow,CW758,Applied Socil Sudies - Professionl Socil Cre,290,319.0
54,Insiue of Technology Crlow,CW808,Medi nd Public Relions,248,307.0
55,Insiue of Technology Crlow,CW848,Digil Mrkeing wih Anlyics,279,307.0
56,Insiue of Technology Crlow,CW858,Spors Mngeen nd Coching (opions porfolio),700,700.0
57,Insiue of Technology Crlow,CW908,Business (opions),260,307.0
58,Insiue of Technology Crlow,CW938,Business wih Lw,270,288.0
59,Insiue of Technology Crlow,CW948,Accouning,301,408.0
60,Crlow College S. Prick`s,PC405,Socil Poliicl nd Couniy Sudies,251,296.0
61,Crlow College S. Prick`s,PC410,Ars nd Huniies (fulfils Teching Council requireens),203,289.0
62,Crlow College S. Prick`s,PC411,English nd Hisory (fulfils Teching Council requireens),168,289.0
63,Cork Insiue of Technology,CR105,Cheicl nd Biophrceuicl Engineering,432,498.0
64,Cork Insiue of Technology,CR106,Sofwre Developen,351,393.0
65,Cork Insiue of Technology,CR108,Mechnicl Engineering,425,487.0
66,Cork Insiue of Technology,CR109,Srucurl Engineering,341,467.0
67,Cork Insiue of Technology,CR110,Auooive Business Mngeen nd Technology,318,347.0
68,Cork Insiue of Technology,CR112,Creive Digil Medi,335,389.0
69,Cork Insiue of Technology,CR116,Copuer Syses,318,381.0
70,Cork Insiue of Technology,CR121,Music  CIT Cork School of Music,633,1052.0
71,Cork Insiue of Technology,CR125,Populr Music: Elecric Bss Guir  CIT Cork School of Music,972,1021.0
72,Cork Insiue of Technology,CR126,Populr Music: Drus  CIT Cork School of Music,878,1043.0
73,Cork Insiue of Technology,CR127,Populr Music: Elecric Guir  CIT Cork School of Music,584,761.0
74,Cork Insiue of Technology,CR128,Populr Music: Keybords  CIT Cork School of Music,839,1009.0
75,Cork Insiue of Technology,CR129,Populr Music: Voice  CIT Cork School of Music,857,927.0
76,Cork Insiue of Technology,CR130,Musicl There,500,600.0
77,Cork Insiue of Technology,CR150,Business Inforion Syses,326,371.0
78,Cork Insiue of Technology,CR210,Coneporry Applied Ar (Cerics Glss Texiles)  CIT Crwford,979,979.0
79,Cork Insiue of Technology,CR220,Fine Ar  CIT Crwford College of Ar nd Design,620,819.0
80,Cork Insiue of Technology,CR225,Phoogrphy wih New Medi,920,920.0
81,Cork Insiue of Technology,CR305,Physicl Sciences (Coon Enry),279,309.0
82,Cork Insiue of Technology,CR310,IT Mngeen,282,317.0
83,Cork Insiue of Technology,CR320,Bioedicl Science (Offered joinly by CIT nd UCC),546,556.0
84,Cork Insiue of Technology,CR325,Phrceuicl Bioechnology,388,422.0
85,Cork Insiue of Technology,CR333,Nuriion nd Helh Science,360,393.0
86,Cork Insiue of Technology,CR335,Biologicl Sciences (Coon Enry),381,419.0
87,Cork Insiue of Technology,CR340,Anlyicl Cheisry wih Quliy Assurnce,288,315.0
88,Cork Insiue of Technology,CR360,Insruen Engineering,291,329.0
89,Cork Insiue of Technology,CR365,Environenl Science nd Susinble Technology,334,362.0
90,Cork Insiue of Technology,CR370,Agri-Biosciences,408,431.0
91,Cork Insiue of Technology,CR400,Accouning,316,389.0
92,Cork Insiue of Technology,CR420,Mrkeing,288,329.0
93,Cork Insiue of Technology,CR425,Inernionl Business wih Lnguge,300,392.0
94,Cork Insiue of Technology,CR500,Engineering (Coon Enry),381,424.0
95,Cork Insiue of Technology,CR510,Susinble Energy Engineering,319,343.0
96,Cork Insiue of Technology,CR520,Bioedicl Engineering,434,477.0
97,Cork Insiue of Technology,CR560,Archiecurl Technology,288,332.0
98,Cork Insiue of Technology,CR565,Inerior Archiecure,336,390.0
99,Cork Insiue of Technology,CR570,Quniy Surveying,279,342.0
100,Cork Insiue of Technology,CR572,Consrucion Mngeen,253,300.0
101,Cork Insiue of Technology,CR580,Elecricl Engineering,344,374.0
102,Cork Insiue of Technology,CR590,Elecronic Engineering,342,411.0
103,Cork Insiue of Technology,CR600,Visul Counicions,587,888.0
104,Cork Insiue of Technology,CR660,Touris Mngeen,249,290.0
105,Cork Insiue of Technology,CR700,There nd Dr Sudies  CIT Cork School of Music,768,906.0
106,Universiy College Cork (NUI),CK101,Ars - 3 yers,300,368.0
107,Universiy College Cork (NUI),CK102,Socil Science,391,431.0
108,Universiy College Cork (NUI),CK104,Ars wih Music - 3 or 4 yers (BMus or Chinese/Europen/In`l Phwy),340,409.0
109,Universiy College Cork (NUI),CK105,Fil nd Screen Medi - 3 yers or 4 yers (Inernionl Phwy),397,442.0
110,Universiy College Cork (NUI),CK107,Geogrphicl nd Archeologicl Sciences - 3 or 4 yers (In`l Phwy),326,388.0
111,Universiy College Cork (NUI),CK108,Ars Inernionl - 4 yers,429,466.0
112,Universiy College Cork (NUI),CK109,English - 3 yers or 4 yers (Inernionl Phwy),347,423.0
113,Universiy College Cork (NUI),CK110,World Lnguges,456,506.0
114,Universiy College Cork (NUI),CK111,Erly Yers nd Childhood Sudies,398,429.0
115,Universiy College Cork (NUI),CK112,There nd Perforive Prcices - 3 or 4 yers (In`l Phwy),324,470.0
116,Universiy College Cork (NUI),CK113,Criinology - 3 yers or 4 yers (Inernionl Phwy),408,430.0
117,Universiy College Cork (NUI),CK114,Socil Science (Youh nd Couniy Work) - 3 yers,,
118,Universiy College Cork (NUI),CK115,Socil Work - Mure Applicns only,,
119,Universiy College Cork (NUI),CK116,Spors Sudies nd Physicl Educion,499,520.0
120,Universiy College Cork (NUI),CK118,Digil Huniies nd IT - 3 or 4 yers (Work Exper. or In`l Phwy),307,361.0
121,Universiy College Cork (NUI),CK120,Applied Psychology,506,532.0
122,Universiy College Cork (NUI),CK121,Psychology nd Copuing - 3 or 4 yers (Work Experience Phwy),393,466.0
123,Universiy College Cork (NUI),CK122,Governen nd Poliicl Science,355,410.0
124,Universiy College Cork (NUI),CK201,Coerce,465,489.0
125,Universiy College Cork (NUI),CK202,Accouning,467,506.0
126,Universiy College Cork (NUI),CK203,Business Inforion Syses,409,444.0
127,Universiy College Cork (NUI),CK204,Finnce,531,555.0
128,Universiy College Cork (NUI),CK205,Coerce (Inernionl) wih French,409,473.0
129,Universiy College Cork (NUI),CK206,Coerce (Inernionl) wih Gern,408,446.0
130,Universiy College Cork (NUI),CK207,Coerce (Inernionl) wih Ilin,408,425.0
131,Universiy College Cork (NUI),CK208,Coerce (Inernionl) wih Hispnic Sudies,431,455.0
132,Universiy College Cork (NUI),CK209,Coerce (Inernionl) wih Irish,509,528.0
133,Universiy College Cork (NUI),CK211,Coerce (Inernionl) wih Chinese Sudies,398,420.0
