,code,title,pointsR1,pointsR2
0,L801,SoftwareDesignforVirtualRealityandGaming,300.0,
1,L802,SoftwareDesigninrtificialIntelligenceforClo,313.0,
2,L803,SoftwareDesignforMobileppsandConnectedDevi,350.0,
3,L805,ComputerEngineeringforNetworkInfrastructure,321.0,
4,L810,uantitySurveying,328.0,
5,L811,CivilEngineering,,
6,L820,MechanicalandPolymerEngineering,327.0,
7,L830,GeneralNursing,451.0,444.0
8,L832,MentalHealthNursing,440.0,431.0
9,L835,Pharmacology,356.0,
10,L836,NutritionandHealthScience,346.0,
11,L837,SportsSciencewithExercisePhysiology,357.0,
12,L838,Biotechnology,324.0,
13,L839,Microbiology,325.0,
14,L840,PharmaceuticalSciences,346.0,
15,L841,thleticandRehabilitationTherapy,477.0,476.0
16,L842,BioveterinaryScience,338.0,
17,L843,PhysicalctivityandHealthScience,306.0,
18,L849,CulinaryEntrepreneurship,297.0,
19,L850,Business,309.0,
20,L851,BusinessandLaw,302.0,
21,L852,ccounting,336.0,
22,L854,SportManagement(withinternationalplacement),300.0,299.0
23,L855,HospitalityManagement(withinternationalplaceme,309.0,
24,L857,DigitalMarketing,304.0,
25,L859,InternationalBusiness,308.0,
26,L860,SocialCarePractice,301.0,
27,L861,nimationandIllustration(portfolio),575.0,
28,L863,GraphicandDigitalDesign(portfolio),747.0,
29,L864,EarlyYearsCareandEducation,306.0,
30,L870,ppliedPsychology,484.0,467.0
31,CW018,Business(options),307.0,
32,CW028,EarlyChildhoodEducationandCare,260.0,
33,CW038,rt(portfolio),700.0,
34,CW058,TourismandEventManagement,292.0,
35,CW068,ppliedSocialStudiesinProfessionalSocialCare,250.0,
36,CW078,SustainableFarmManagementandgribusiness,270.0,
37,CW088,VisualCommunicationsandDesign,270.0,
38,CW108,Science(options),266.0,
39,CW128,BrewingandDistilling,307.0,
40,CW138,SportandExerciseScience,430.0,423.0
41,CW148,StrengthandConditioning,388.0,
42,CW188,SportRehabilitationandthleticTherapy,451.0,
43,CW208,ComputerGamesDevelopment,272.0,
44,CW238,SoftwareDevelopment,295.0,
45,CW248,InformationTechnologyManagement,293.0,
46,CW258,CybercrimeandITSecurity,292.0,
47,CW268,ComputinginInteractiveDigitalrtandDesign,291.0,
48,CW438,Construction(options),260.0,251.0
49,CW468,rchitecturalTechnology,291.0,283.0
50,CW478,CivilEngineering,465.0,
51,CW548,MechanicalEngineering,330.0,328.0
52,CW558,ElectronicSystems,280.0,
53,CW568,erospaceEngineering,371.0,359.0
54,CW578,TVandMediaProduction,318.0,
55,CW708,Law-LLB,292.0,
56,CW728,ProductDesignInnovation,246.0,
57,CW748,EarlyChildhoodEducationandCare,290.0,
58,CW758,ProfessionalSocialCarePractice,360.0,358.0
59,CW808,MediaandPublicRelations,247.0,
60,CW848,DigitalMarketingwithnalytics,269.0,
61,CW858,SportsManagementandCoaching(optionsportfolio,700.0,
62,CW908,Business(options),272.0,
63,CW938,BusinesswithLaw,270.0,
64,CW948,ccounting,319.0,
65,PC405,SocialPoliticalandCommunityStudies,263.0,235.0
66,PC410,rtsandHumanities(fulfilsTeachingCouncilrequ,262.0,230.0
