code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
AL801,,300.0,303.0,304.0,,-3.0,-4.0,-1.0,Decrease,Decrease,Decrease
AL802,,313.0,332.0,301.0,,-19.0,12.0,31.0,Decrease,Increase,Increase
AL803,,350.0,337.0,309.0,,13.0,41.0,28.0,Increase,Increase,Increase
AL805,,321.0,333.0,329.0,,-12.0,-8.0,4.0,Decrease,Increase,Decrease
AL810,,328.0,319.0,307.0,,9.0,21.0,12.0,Increase,Increase,Increase
AL811,,,320.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
AL820,,327.0,308.0,300.0,,19.0,27.0,8.0,Increase,Increase,Increase
AL830,,451.0,442.0,410.0,,9.0,41.0,32.0,Increase,Increase,Increase
AL832,,440.0,387.0,387.0,,53.0,53.0,0.0,Increase,No change,Increase
AL835,,356.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
AL836,,346.0,334.0,352.0,,12.0,-6.0,-18.0,Increase,Decrease,Decrease
AL837,,357.0,351.0,351.0,,6.0,6.0,0.0,Increase,No change,Increase
AL838,,324.0,307.0,302.0,,17.0,22.0,5.0,Increase,Increase,Increase
AL839,,325.0,325.0,322.0,,0.0,3.0,3.0,No change,Increase,Increase
AL840,,346.0,347.0,328.0,,-1.0,18.0,19.0,Decrease,Increase,Increase
AL841,,477.0,430.0,423.0,,47.0,54.0,7.0,Increase,Increase,Increase
AL842,,338.0,313.0,310.0,,25.0,28.0,3.0,Increase,Increase,Increase
AL843,,306.0,306.0,310.0,,0.0,-4.0,-4.0,No change,Decrease,Decrease
AL849,,297.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
AL850,,309.0,309.0,307.0,,0.0,2.0,2.0,No change,Increase,Increase
AL851,,302.0,295.0,301.0,,7.0,1.0,-6.0,Increase,Decrease,Increase
AL852,,336.0,309.0,290.0,,27.0,46.0,19.0,Increase,Increase,Increase
AL854,,300.0,302.0,,,-2.0,,,Decrease,Course for 1 year only,Course for 1 year only
AL855,,309.0,308.0,312.0,,1.0,-3.0,-4.0,Increase,Decrease,Decrease
AL857,,304.0,304.0,300.0,,0.0,4.0,4.0,No change,Increase,Increase
AL859,,308.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
AL860,,301.0,300.0,309.0,,1.0,-8.0,-9.0,Increase,Decrease,Decrease
AL861,,575.0,578.0,615.0,,-3.0,-40.0,-37.0,Decrease,Decrease,Decrease
AL863,,747.0,781.0,703.0,,-34.0,44.0,78.0,Decrease,Increase,Increase
AL864,,306.0,307.0,307.0,,-1.0,-1.0,0.0,Decrease,No change,Decrease
AL870,,484.0,418.0,409.0,,66.0,75.0,9.0,Increase,Increase,Increase
CW018,,307.0,298.0,327.0,,9.0,-20.0,-29.0,Increase,Decrease,Decrease
CW028,,260.0,252.0,252.0,,8.0,8.0,0.0,Increase,No change,Increase
CW038,,700.0,700.0,700.0,,0.0,0.0,0.0,No change,No change,No change
CW058,,292.0,298.0,252.0,,-6.0,40.0,46.0,Decrease,Increase,Increase
CW068,,250.0,245.0,251.0,,5.0,-1.0,-6.0,Increase,Decrease,Decrease
CW078,,270.0,269.0,266.0,,1.0,4.0,3.0,Increase,Increase,Increase
CW088,,270.0,274.0,309.0,,-4.0,-39.0,-35.0,Decrease,Decrease,Decrease
CW108,,266.0,261.0,261.0,,5.0,5.0,0.0,Increase,No change,Increase
CW128,,307.0,263.0,271.0,,44.0,36.0,-8.0,Increase,Decrease,Increase
