code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21 vs 20,21 vs 19,20 vs 19,,,,,,
AL801,Software Design for Virtual Reality and Gaming,300,303,304,Points decrease,-3,-4,-1,-3,-4,-1,TRUE,TRUE,TRUE
AL802,Software Design in Artificial Intelligence for Clo,313,332,301,Points decrease,-19,12,31,-19,12,31,TRUE,TRUE,TRUE
AL803,Software Design for Mobile Apps and Connected Devi,350,337,309,Points decrease,13,41,28,13,41,28,TRUE,TRUE,TRUE
AL805,Computer Engineering for Network Infrastructure,321,333,329,Points decrease,-12,-8,4,-12,-8,4,TRUE,TRUE,TRUE
AL810,Quantity Surveying,328,319,307,Points decrease,9,21,12,9,21,12,TRUE,TRUE,TRUE
AL811,Civil Engineering,,320,,Points decrease,,,,-320,0,320,FALSE,TRUE,FALSE
AL820,Mechanical and Polymer Engineering,327,308,300,Points decrease,19,27,8,19,27,8,TRUE,TRUE,TRUE
AL830,General Nursing,451,442,410,Points decrease,9,41,32,9,41,32,TRUE,TRUE,TRUE
AL832,Mental Health Nursing,440,387,387,Points decrease,53,53,0,53,53,0,TRUE,TRUE,TRUE
AL835,Pharmacology,356,,,Points decrease,,,,356,356,0,FALSE,FALSE,TRUE
AL836,Nutrition and Health Science,346,334,352,Points decrease,12,-6,-18,12,-6,-18,TRUE,TRUE,TRUE
AL837,Sports Science with Exercise Physiology,357,351,351,Points decrease,6,6,0,6,6,0,TRUE,TRUE,TRUE
AL838,Biotechnology,324,307,302,Points decrease,17,22,5,17,22,5,TRUE,TRUE,TRUE
AL839,Microbiology,325,325,322,Points decrease,0,3,3,0,3,3,TRUE,TRUE,TRUE
AL840,Pharmaceutical Sciences,346,347,328,Points decrease,-1,18,19,-1,18,19,TRUE,TRUE,TRUE
AL841,Athletic and Rehabilitation Therapy,477,430,423,Points decrease,47,54,7,47,54,7,TRUE,TRUE,TRUE
AL842,Bioveterinary Science,338,313,310,Points decrease,25,28,3,25,28,3,TRUE,TRUE,TRUE
AL843,Physical Activity and Health Science,306,306,310,Points decrease,0,-4,-4,0,-4,-4,TRUE,TRUE,TRUE
AL849,Culinary Entrepreneurship,297,,,Points decrease,,,,297,297,0,FALSE,FALSE,TRUE
AL850,Business,309,309,307,Points decrease,0,2,2,0,2,2,TRUE,TRUE,TRUE
